"Got Your Love|Dirtyphonics,RIOT"
"Fue un Placer Conocerte (En Vivo) (with Juan Gabriel) - Desde el Auditorio Nacional|Rocío Dúrcal,Juan Gabriel"
"Amanecí en Tus Brazos (with Javier Solís)|Vikki Carr,Javier Solís"
"La Media Vuelta|Marco Antonio Muñiz,José Alfredo Jimenez"
"Si Nos Dejan (with Rocío Dúrcal)|Julio Preciado,Rocío Dúrcal"
"Amarraditos (with Lucía Méndez)|Pedro Vargas,Lucía Méndez"
"Nube Viajera|Gerardo Reyes,Lorenzo De Monteclaro"
"Y Es Verdad|José Alfredo Jimenez,Alicia Juarez"
"La Malagueña|Joselito,Tony Aguilar"
"Amor Con Amor Se Paga (with Jorge Negrete)|Pedro Vargas,Jorge Negrete"
"Despacito|Amalia Mendoza,José Alfredo Jimenez"
"Canción Mixteca (with Miguel Aceves Mejía)|Pedro Vargas,Miguel Aceves Mejia"
"Tú y las Nubes|Lupita Palomera,Fernando Fernandez"
"Aquel Amor (with Agustín Lara) - Remasterizado|Pedro Vargas,Agustín Lara"
"El Mala Estrella|Luis Aguilar,Antonio Aguilar"
"Pa' Qué Me Sirve la Vida (with María Luisa Landín)|Maria Victoria,Maria Luisa Landin"
"Chinatown|Kill Bill: The Rapper,Rav"
"Dream Eater|Kill Bill: The Rapper,Rekcahdam,Rav"
"Waterwaterwater|Kill Bill: The Rapper,Jinzo the Trap Lord"
"Abandoned 2|Kill Bill: The Rapper,Rav"
"Pork|Kill Bill: The Rapper,Rav"
"Finlandia|Jean Sibelius,Chineke! Orchestra,Kevin John Edusei"
"Symphony No. 9 in E Minor, Op. 95 'From the New World': I. Adagio - Allegro molto|Antonín Dvořák,Chineke! Orchestra,Kevin John Edusei"
"Symphony No. 9 in E Minor, Op. 95 'From the New World': II. Largo|Antonín Dvořák,Chineke! Orchestra,Kevin John Edusei"
"Symphony No. 9 in E Minor, Op. 95 'From the New World': III. Scherzo: molto vivace|Antonín Dvořák,Chineke! Orchestra,Kevin John Edusei"
"Symphony No. 9 in E Minor, Op. 95 'From the New World': IV. Allegro con fuoco|Antonín Dvořák,Chineke! Orchestra,Kevin John Edusei"
"Gentle Folk|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Snow Grind|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Missed Children|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Rumi Nation|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Paper Sand|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Here Seas Peak|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Tough Fairy, My Dear|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"This Appearing World|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Meat Ox|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Trap|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Sine Language|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Isle and Light|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Quiet Night|Marilyn Crispell,Richard Nunns,Jeff Henderson"
"Leave Like That (feat. Jenn Champion)|SYML,Jenn Champion"
"Prayer (feat. Pastor John Hannah)|Todd Dulaney,Pastor John Hannah"
"King of Glory (feat. Shana Wilson-Williams)|Todd Dulaney,Shana Wilson-Williams"
"We Surrender It All (feat. Naomi Raine)|Todd Dulaney,Naomi Raine"
"Father Be Pleased (feat. Nicole C. Mullen)|Todd Dulaney,Nicole C. Mullen"
"You Are The Reason (feat. DJ Nicolas)|Todd Dulaney,DJ Nicholas"
"Where Are You Now (feat. Nathan O'Realey)|Caldwyn & Textiler, ""Nathan ORealey"""
"I Need a Loaner|M Dot 80,DBI,Young Dolce"
"Bullshit|M Dot 80,Risk"
"All Nighters|M Dot 80,Dre Cook"
"Sip Sumthin|M Dot 80,Maika Millions,DBI,B Streetz"
"Bout That Life|M Dot 80,HP,Tay Tease"
"The Other Side|M Dot 80,Jody Hus"
"I Tell Ya|M Dot 80, ""Lil D"",Slim V"
"Money Store|M Dot 80,B Streetz"
"Rotation|M Dot 80,Y Sic"
"Swang|M Dot 80,Shoddy Boi"
"Blahk Opps|M Dot 80,Twisted Revren,Montana Bay,Sneekz"
"Egyptian Fantasy|Vincent Peirani,Emile Parisien"
"Grace|Lars Danielsson,Mathias Eick,Dominic Miller"
"Broken Wings|Nils Landgren,Michael Wollny,Lars Danielsson,Johan Norberg,Rasmus Kihlberg"
"Dead End Street|Tobias Christl,Peter Ehwald,Sebastian Müller,Matthias Akeo Nowak,Etienne Nillesen"
"Polygon|Michael Wollny,Marius Neset"
